,name,rating,sub_region,year,"price, kr.",light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,kompas,kompas2
25,Graticcio Appassionato ,3.7,Veneto,2018,135 ,0.6128370000000001,0.331681,0.263069,0.189468,Tommasi,semi bold,semi smooth,semi dry,soft,Veneto,North,North-east
26,Limited Edition  Vendemmie ,4.6,Montepulciano d'Abruzzo,2018,299 ,0.525559,0.342017,0.23578000000000002,0.554992,Tenuta Ulisse,semi light,semi smooth,semi dry,semi acidic,Abruzzo,East,East
27,La Pineta Pinot Nero ,4.4,Toscana,2018,359 ,0.414058,0.355315,0.087243,0.477169,Podere Monastero,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
28,Fonterutoli Chianti Classico ,3.9,Chianti Classico,2018,195 ,0.429148,0.5232100000000001,0.019994699999999997,0.598098,Mazzei,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
29,Eghemon Passimiento ,4.1,Terre Siciliane,2018,105 ,0.8249639999999999,0.32685000000000003,0.339335,0.167076,Don Vincenzo,bold,semi smooth,semi sweet,soft,Sicilia,South,South
30,Rosso (Cariddi) ,3.7,Sicilia,2018,59.81 ,0.825,0.373217,0.21256699999999998,0.224451,Colosi,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
31,Negroamaro Illivia Salento ,3.8,Salento,2018,44.69 ,0.7480559999999999,0.330028,0.244528,0.22994299999999998,Leone de Castris,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
32,Fantini Don Camillo Sangiovese - Cabernet Sauvignon ,3.9,Terre di Chieti,2018,80.82 ,0.825,0.40021500000000004,0.215353,0.20119900000000002,Farnese,bold,semi smooth,semi dry,soft,Abruzzo,East,East
33,Primitivo I Muri ,3.8,Puglia,2018,47.81 ,0.635026,0.19377,0.39454700000000004,0.10758100000000001,Vigneti del Salento,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
34,Resilience Perricone ,3.9,Sicilia,2018,59.59 ,0.825,0.44290799999999997,0.17067999999999997,0.27767,Cantina Colomba Bianca,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
35,Gaglioppo ,3.9,Calabria,2018,70.76 ,0.782063,0.38123199999999996,0.25813400000000003,0.294213,Statti,bold,semi smooth,semi dry,semi soft,Calabria,South,South-west
36,Famiglia Zingarelli Chianti Classico ,3.7,Chianti Classico,2018,88.64 ,0.4242100000000001,0.538162,0.0,0.6224729999999999,Rocca delle Macìe,semi light,semi tannic,dry,acidic,Toscana,North,North-west
37,L'U Umbria Rosso ,3.8,Umbria,2018,64.06 ,0.43623100000000004,0.328731,0.133483,0.41,Lungarotti,semi light,semi smooth,dry,semi soft,Umbria,Central,Central
38,Castlé Barbera d'Alba ,4.0,Barbera d'Alba,2018,199 ,0.507028,0.175472,0.121606,0.584761,Barale Fratelli,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
39,Terre di Giumara Nero d'Avola ,3.5,Terre Siciliane,2018,57.35 ,0.818874,0.35579900000000003,0.229772,0.221652,Caruso & Minini,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
40,Moi Primitivo Puglia ,3.5,Puglia,2018,76.06 ,0.58887,0.204357,0.336334,0.15905999999999998,Varvaglione,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
41,Nanfrè Valpolicella ,3.6,Valpolicella,2018,75.90 ,0.413705,0.325374,0.09470700000000001,0.517431,Tenuta Sant'Antonio,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
42,Morellino di Scansano Santa Maria ,3.8,Morellino di Scansano,2018,66.29 ,0.396073,0.380227,0.09985200000000001,0.409524,Frescobaldi,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
43,Tufaliccio Rosso ,3.7,Lazio,2018,129 ,0.47943800000000003,0.350271,0.0252555,0.366167,Marco Carpineti,semi light,semi smooth,dry,semi soft,Lazio,West,West
44,Cabernet Franc ,3.2,Toscana,2018,220 ,0.41763999999999996,0.428897,0.056745800000000006,0.41853999999999997,Ampeleia,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
45,Tenuta la Gabbiola Chianti Classico ,3.9,Chianti Classico,2018,199 ,0.468278,0.584641,0.061197,0.591013,San Michele a Torri,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
46,Barbera Langhe Casaret ,3.7,Langhe,2018,129 ,0.519792,0.191833,0.06923110000000002,0.621545,Abbona,semi light,smooth,dry,acidic,Piemonte,North,North-west
47,Frappato ,3.3,Terre Siciliane,2018,105 ,0.653729,0.366361,0.218616,0.33935099999999996,Santa Tresa,semi bold,semi smooth,semi dry,semi soft,Sicilia,South,South
48,Ilex Toscana ,3.5,Toscana,2018,128 ,0.397909,0.36740900000000004,0.0,0.495753,Caprili,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
49,Appassimento ,3.6,Puglia,2018,59 ,0.822533,0.31396700000000005,0.275717,0.26938300000000004,Marosso,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
50,Orion Primitivo ,4.0,Salento,2018,69.95 ,0.629475,0.19622299999999998,0.367011,0.13120900000000002,Li Veli,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
51,Appassite ,4.1,Puglia,2018,69 ,0.825,0.34381300000000004,0.35688000000000003,0.183998,Nero Grande,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
52,Nero di Troia ,4.1,Puglia,2018,69 ,0.825,0.30269799999999997,0.234152,0.18057600000000001,Corsiero Nero,bold,semi smooth,semi dry,soft,Puglia,East,South-east
53,Poggio Badiola ,3.7,Toscana,2018,69 ,0.404625,0.361107,0.0195439,0.409047,Mazzei,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
54,Possente Merlot - Cabernet ,4.0,Rubicone,2018,55 ,0.7101850000000001,0.28472200000000003,0.17407399999999998,0.21805599999999997,Conti Morini,bold,smooth,semi dry,semi soft,Emilia Romagna,North,North
55,Aglianico Campania Rue Dell'Inchiostro ,3.8,Campania,2018,79 ,0.803063,0.39752699999999996,0.311278,0.254017,Nativ,bold,semi smooth,semi sweet,semi soft,Campania,South,South-west
56,Ottone I Barbera Piemonte ,3.5,Piemonte,2018,300 ,0.478606,0.207836,0.07065660000000001,0.560704,San Silvestro,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
57,Pelofino Toscana Rosso ,3.5,Maremma Toscana,2018,75 ,0.358973,0.294643,0.027981499999999996,0.417845,Fattoria le Pupille,light,semi smooth,dry,semi acidic,Toscana,North,North-west
58,Fanino Rosso ,4.5,Sicilia,2018,455.65 ,0.6369419999999999,0.345071,0.195609,0.39805799999999997,Giotto Bini - Serragghia,semi bold,semi smooth,semi dry,semi soft,Sicilia,South,South
59, Uno Primitivo di Manduria ,4.3,Primitivo di Manduria,2018,99 ,0.640596,0.208565,0.387279,0.134857,Masseria La Volpe,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
60,Susumaniello ,4.2,Puglia,2018,81.38 ,0.825,0.350306,0.35876800000000003,0.19424399999999997,Masca del Tacco,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
61,Ostuni ,4.0,Puglia,2018,44.32 ,0.7232590000000001,0.29127,0.36564399999999997,0.18849,Montedidio,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
62,Nero d'Avola Organic ,3.7,Sicilia,2018,59.95 ,0.777314,0.36245499999999997,0.302382,0.209454,Villarini,bold,semi smooth,semi sweet,soft,Sicilia,South,South
63,UNLITRO ,3.9,Costa Toscana,2018,98.32 ,0.350342,0.36991599999999997,0.0440937,0.479907,Ampeleia,light,semi smooth,dry,semi acidic,Toscana,North,North-west
64,Duca del Salento Primitivo ,3.8,Salento,2018,75 ,0.58219,0.174669,0.328636,0.154525,San Donaci,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
65,ZFD Appassimento ,3.8,Puglia,2018,75 ,0.8108629999999999,0.32335099999999994,0.34433100000000005,0.197016,Savoni,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
66,Valpolicella ,3.5,Valpolicella,2018,119 ,0.381736,0.2837,0.134291,0.536546,Tommasi,semi light,smooth,dry,semi acidic,Veneto,North,North-east
67,Revò Limited Edition Petit Verdot ,3.9,Lazio,2018,99 ,0.414024,0.285976,0.216463,0.42622,Montemajor,semi light,smooth,semi dry,semi acidic,Lazio,West,West
68,Red Zinfandel ,3.9,Puglia,2018,115 ,0.657037,0.163491,0.49940399999999996,0.060094499999999995,Chunky,semi bold,smooth,sweet,soft,Puglia,East,South-east
69,Boira' Sangiovese ,3.5,Marche,2018,109 ,0.410871,0.338688,0.06661239999999999,0.392143,Cantine Volpi,semi light,semi smooth,dry,semi soft,Marche,East,East
70,La Masserietta Primitivo di Manduria ,3.6,Primitivo di Manduria,2018,109 ,0.66997,0.143521,0.40928999999999993,0.05715970000000001,Cantolio,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
71,Cvrsvs Vitae Barbera d'Asti ,3.6,Barbera d'Asti,2018,67.86 ,0.513444,0.20398599999999997,0.025884199999999993,0.602394,Carlin de Paolo,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
72,Negroamaro ,3.9,Puglia,2018,104.17 ,0.805455,0.337314,0.25217,0.22198,Integro,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
73,Valpolicella Ripasso Classico Superiore ,3.7,Valpolicella Ripasso,2018,99 ,0.6340210000000001,0.359005,0.303354,0.204377,Cantina Valpolicella Negrar,semi bold,semi smooth,semi sweet,soft,Veneto,North,North-east
74,Cannonau di Sardegna ,3.4,Cannonau di Sardegna,2018,99 ,0.6202679999999999,0.38765099999999997,0.015004400000000003,0.41639200000000004,Sella & Mosca,semi bold,semi smooth,dry,semi soft,Sardegna,West,West
75,Chianti ,3.7,Chianti,2018,79 ,0.42660800000000004,0.521932,0.0017243999999999992,0.637991,Collezione di Paolo,semi light,semi tannic,dry,acidic,Toscana,North,North-west
76,Costera ,3.6,Cannonau di Sardegna,2018,99 ,0.645166,0.369891,0.064103,0.418667,Argiolas,semi bold,semi smooth,dry,semi acidic,Sardegna,West,West
77,Carlòt Barbera d'Alba ,4.0,Langhe,2018,99 ,0.49333,0.22471999999999998,0.0270908,0.6585139999999999,Gian Piero Marrone,semi light,smooth,dry,acidic,Piemonte,North,North-west
78,Barbera Appassimento ,4.0,Piemonte,2018,90 ,0.5397120000000001,0.151617,0.213112,0.587904,Ricossa,semi bold,smooth,semi dry,semi acidic,Piemonte,North,North-west
79,Fantini Montepulciano d'Abruzzo ,3.6,Montepulciano d'Abruzzo,2018,87.50 ,0.315282,0.33925400000000006,0.0156318,0.588326,Farnese,light,semi smooth,dry,semi acidic,Abruzzo,East,East
80,Nero d'Avola ,3.6,Terre Siciliane,2018,80.83 ,0.705538,0.390047,0.25943,0.299017,Barone Montalto,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
81,Toscana Governo Rosso ,4.2,Toscana,2018,79 ,0.454337,0.30085999999999996,0.083404,0.40332700000000005,Saracosa,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
82,Cardanera Carignano del Sulcis ,3.7,Carignano del Sulcis,2018,132 ,0.7042619999999999,0.412408,0.21124,0.274613,Argiolas,bold,semi smooth,semi dry,semi soft,Sardegna,West,West
83,Borrigiano  Val d'Arno di Sopra ,3.6,Toscana,2018,230 ,0.409929,0.302988,0.155838,0.42777099999999996,Il Borro,semi light,semi smooth,semi dry,semi acidic,Toscana,North,North-west
84,A Mare Primitivo ,3.7,Puglia,2018,85.33 ,0.5018670000000001,0.245063,0.446079,0.19409,Terra Rossa,semi light,smooth,sweet,soft,Puglia,East,South-east
85,Terre More Maremma Toscana ,3.9,Maremma Toscana,2018,69.27 ,0.46036499999999997,0.37999299999999997,0.05837530000000001,0.42845700000000003,Tenuta Ammiraglia,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
86,Rubesco Rosso di Torgiano ,3.6,Torgiano,2018,67.04 ,0.457896,0.420306,0.04726189999999999,0.43532600000000005,Lungarotti,semi light,semi smooth,dry,semi acidic,Umbria,Central,Central
87,Negroamaro I Muri ,3.9,Puglia,2018,50.48 ,0.823314,0.34572699999999995,0.323304,0.208222,Vigneti del Salento,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
88,Bolgheri Rosso ,3.9,Bolgheri,2018,126.63 ,0.647441,0.605566,0.08081200000000001,0.484021,Tenuta Campo al Mare,semi bold,semi tannic,dry,semi acidic,Toscana,North,North-west
89,Lacryma Christi Rosso ,3.6,Vesuvio,2018,82.90 ,0.747869,0.40832799999999997,0.17601,0.324464,Feudi di San Gregorio,bold,semi smooth,semi dry,semi soft,Campania,South,South-west
90,Roxanne ,3.8,Toscana,2018,155.12 ,0.420792,0.323913,0.091114,0.45315300000000003,Tenuta Il Palagio,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
91,La Mannella Rosso di Montalcino ,4.3,Rosso di Montalcino,2018,110.24 ,0.467293,0.42050899999999997,0.0021580999999999983,0.42890700000000004,Cortonesi (La Mannella),semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
92,Pian Scorrone Barbera d'Asti ,3.6,Barbera d'Asti,2018,74.63 ,0.504614,0.218798,0.110334,0.577744,Il Falchetto,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
93,Pinot Nero Dolomiti ,3.7,Vigneti delle Dolomiti,2018,105.10 ,0.23159000000000002,0.186801,0.0,0.63291,Pojer e Sandri,light,smooth,dry,acidic,Veneto,North,North-east
94,Valpolicella Classico Le Caleselle ,3.4,Valpolicella Classico,2018,63.31 ,0.415781,0.298248,0.07529,0.48093800000000003,Santi,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
95,Bolgheri ,3.6,Bolgheri,2018,126.48 ,0.618346,0.6547719999999999,0.009190099999999996,0.533079,Michele Satta,semi bold,tannic,dry,semi acidic,Toscana,North,North-west
96,Trefilari Primitivo ,4.2,Salento,2018,79.18 ,0.570473,0.21209499999999998,0.381892,0.121723,Cantina Sampietrana,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
97,I Suòri Barbera d'Asti ,3.8,Barbera d'Asti,2018,70.76 ,0.541661,0.297626,0.058767999999999994,0.6263540000000001,Roberto Ferraris,semi bold,semi smooth,dry,acidic,Piemonte,North,North-west
98,Sangaetano Primitivo di Manduria ,3.9,Primitivo di Manduria,2018,65.55 ,0.646881,0.160426,0.433194,0.085108,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
99,Bramé Barbera d'Alba ,3.8,Barbera d'Alba,2018,85.66 ,0.459186,0.259441,0.270333,0.507255,Deltetto,semi light,smooth,semi dry,semi acidic,Piemonte,North,North-west
100,Nebbiolo Langhe Ginestrino ,3.8,Langhe,2018,154.19 ,0.62015,0.7397849999999999,0.0091914,0.7765899999999999,Conterno Fantino,semi bold,tannic,dry,acidic,Piemonte,North,North-west
101,Cariglio ,3.9,Calabria,2018,90.72 ,0.825,0.362808,0.311257,0.214974,Terre Nobili,bold,semi smooth,semi sweet,semi soft,Calabria,South,South-west
102,Amaranto Sangiovese ,3.7,Maremma Toscana,2018,145 ,0.404918,0.41159300000000004,0.0284821,0.49498600000000004,Podere San Cristoforo,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
103,Antigua Monica di Sardegna ,3.6,Monica di Sardegna,2018,106 ,0.6303360000000001,0.360043,0.241624,0.293348,Santadi,semi bold,semi smooth,semi dry,semi soft,Sardegna,West,West
104,Leonardo Toscana Rosso ,3.5,Toscana,2018,65.55 ,0.360148,0.384937,0.0,0.45218800000000003,Cantine Leonardo da Vinci,light,semi smooth,dry,semi acidic,Toscana,North,North-west
105,Il Passo Nerello Mascalese ,3.8,Terre Siciliane,2018,61 ,0.764631,0.39751999999999993,0.283581,0.253401,Zabu,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
106,Molino a Vento Nero d'Avola ,3.5,Terre Siciliane,2018,79 ,0.705313,0.342154,0.243286,0.248448,Tenute Orestiadi,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
107,Bellamarsilia Morellino di Scansano ,3.7,Morellino di Scansano,2018,89.01 ,0.411601,0.40354799999999996,0.0527387,0.45421100000000003,Poggio Argentiera,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
108,Fichimori ,3.6,Salento,2018,69.76 ,0.568341,0.27161799999999997,0.301147,0.31033,Tormaresca,semi bold,smooth,semi sweet,semi soft,Puglia,East,South-east
109,Pelisa Barbera d'Alba ,3.5,Barbera d'Alba,2018,129 ,0.533737,0.18080400000000002,0.07427719999999999,0.6689839999999999,Monchiero Carbone,semi bold,smooth,dry,acidic,Piemonte,North,North-west
110,Talò Primitivo - Merlot ,4.0,Tarantino,2018,77.47 ,0.760667,0.35099400000000003,0.301574,0.21638300000000002,San Marzano,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
111,Santa Lucia Bardolino Superiore ,3.8,Bardolino Superiore,2018,101 ,0.59375,0.445242,0.13732,0.33368000000000003,Cavalchina,semi bold,semi smooth,dry,semi soft,Veneto,North,North-east
112,Elena Barbera d'Alba ,3.8,Barbera d'Alba,2018,197 ,0.4586,0.127371,0.05302860000000001,0.600614,Fenocchio Renato,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
113,Federico Sangiovese Superiore ,3.6,Romagna,2018,81.95 ,0.586727,0.46424,0.091836,0.320181,Pandolfa,semi bold,semi smooth,dry,semi soft,Emilia Romagna,North,North
114,Nèprica Negroamaro ,3.5,Puglia,2018,66.96 ,0.671608,0.32982100000000003,0.232409,0.381784,Tormaresca,semi bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
115,Casamatta Toscana  Rosso ,3.5,Toscana,2018,83.27 ,0.39631,0.359614,0.027064199999999997,0.441255,Bibi Graetz,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
116,Bayamore Rosso di Rossi ,4.1,Sicilia,2017,81.19 ,0.596436,0.31042400000000003,0.586491,0.194345,Firriato,semi bold,semi smooth,sweet,soft,Sicilia,South,South
117,Granbruno ,3.6,Toscana,2017,80 ,0.436808,0.426419,0.0,0.44892499999999996,Castello di Radda,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
118,La Cengia Valpolicella Ripasso Classico Superiore ,3.9,Valpolicella Ripasso,2017,109 ,0.6191800000000001,0.369351,0.281418,0.21258500000000002,Begali Lorenzo,semi bold,semi smooth,semi dry,soft,Veneto,North,North-east
119,Bernardeschi Governo ,4.0,Toscana,2017,79 ,0.446793,0.277898,0.193978,0.326764,Terrescure,semi light,smooth,semi dry,semi soft,Toscana,North,North-west
120,Flétris ,4.1,Salento,2017,79.95 ,0.6683100000000001,0.211143,0.471148,0.079107,Montemajor,semi bold,smooth,sweet,soft,Puglia,East,South-east
121,Castel del Monte Bolonero ,3.5,Castel del Monte,2017,57.50 ,0.7238460000000001,0.38372100000000003,0.252627,0.264382,Torrevento,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
122,Appassionatamente Rosso ,4.0,Veneto,2017,79 ,0.594773,0.28693,0.211996,0.217917,Cielo e Terra,semi bold,smooth,semi dry,semi soft,Veneto,North,North-east
123,Purosangue Nero di Troia ,4.0,Puglia,2017,79 ,0.825,0.376636,0.296282,0.23153600000000002,Corsiero Nero,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
124,SanVito Valpolicella Ripasso ,3.7,Valpolicella Ripasso,2017,109 ,0.639495,0.41403,0.30179,0.239322,Villa Molino,semi bold,semi smooth,semi sweet,semi soft,Veneto,North,North-east
125, Pinot Noir ,3.2,Provincia di Pavia,2017,79 ,0.259282,0.182624,0.12259700000000001,0.612182,Villa Molino,light,smooth,dry,semi acidic,Lombardia,North,North
126,Cabernet Sauvignon Sicilia ,3.7,Sicilia,2017,42.75 ,0.723481,0.41836999999999996,0.16294,0.289304,Feudo Arancio,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
127,Nostru Nerello Mascalese ,3.5,Terre Siciliane,2017,103.33 ,0.671057,0.33436,0.276284,0.32146399999999997,Cortese,semi bold,semi smooth,semi dry,semi soft,Sicilia,South,South
128,Barbera d'Asti Bricco ,4.0,Barbera d'Asti,2017,95.34 ,0.474736,0.19578700000000002,0.060030099999999996,0.650733,Paolo Conterno,semi light,smooth,dry,acidic,Piemonte,North,North-west
129,San Gimignano Pinot Nero ,3.8,San Gimignano,2017,88.64 ,0.355716,0.237811,0.0343919,0.60023,Panizzi,light,smooth,dry,semi acidic,Toscana,North,North-west
130,Versante Nord Nerello Mascalese ,4.0,Terre Siciliane,2017,163.87 ,0.708589,0.501217,0.212443,0.35117800000000005,Eduardo Torres Acosta,bold,semi tannic,semi dry,semi soft,Sicilia,South,South
131,Verruzzo di Monteverro Toscana ,3.9,Toscana,2017,114.41 ,0.457272,0.409417,0.10509399999999999,0.451176,Monteverro,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
132,Maravento Vendemmia Tardiva Syrah ,4.0,Terre Siciliane,2017,99 ,0.825,0.353562,0.43718999999999997,0.18411100000000002,Montemajor,bold,semi smooth,semi sweet,soft,Sicilia,South,South
133,La Mostella Colline Novaresi Vespolina ,3.3,Colline Novaresi,2017,89 ,0.607081,0.47966000000000003,0.0732484,0.370223,Torraccia del Piantavigna,semi bold,semi tannic,dry,semi soft,Piemonte,North,North-west
134,Selectio Barbera d'Alba ,3.9,Barbera d'Alba,2017,89 ,0.501437,0.15241800000000003,0.029544300000000003,0.5992219999999999,Sobrero,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
135,Se Primitivo di Manduria ,4.2,Primitivo di Manduria,2017,329 ,0.638687,0.171176,0.417637,0.124896,Gianfranco Fino,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
136,Kleos Aglianico ,4.0,Paestum,2017,122.90 ,0.774204,0.489888,0.22585999999999998,0.358994,Luigi Maffini,bold,semi tannic,semi dry,semi soft,Campania,South,South-west
137,Belvento Sireno Toscana (I Vini del Mare) ,3.9,Toscana,2017,126.25 ,0.466057,0.332881,0.03836869999999999,0.416458,Petra,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
138,Peiragal Barbera d'Alba ,4.2,Barbera d'Alba,2017,127 ,0.504947,0.17453600000000002,0.030372500000000004,0.60758,Marchesi di Barolo,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
139,HEBO (Suvereto) ,3.8,Toscana,2017,99 ,0.46015700000000004,0.389577,0.092106,0.432602,Petra,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
140,Primitivo Appassito ,4.1,Puglia,2017,95 ,0.633254,0.15604800000000002,0.501765,0.104724,Boccantino,semi bold,smooth,sweet,soft,Puglia,East,South-east
